"Datum","EAN","Verbruik","Type","Piek"
"2021-12-28T07:00:00+01:00","871687120061402458","0.266","Elektriciteit","true"
"2021-12-28T08:00:00+01:00","871687120061402458","0.427","Elektriciteit","true"
"2021-12-28T09:00:00+01:00","871687120061402458","0.532","Elektriciteit","true"
"2021-12-28T10:00:00+01:00","871687120061402458","0.557","Elektriciteit","true"
"2021-12-28T11:00:00+01:00","871687120061402458","0.671","Elektriciteit","true"
"2021-12-28T12:00:00+01:00","871687120061402458","0.678","Elektriciteit","true"
"2021-12-28T13:00:00+01:00","871687120061402458","0.662","Elektriciteit","true"
"2021-12-28T14:00:00+01:00","871687120061402458","1.167","Elektriciteit","true"
"2021-12-28T15:00:00+01:00","871687120061402458","0.599","Elektriciteit","true"
"2021-12-28T16:00:00+01:00","871687120061402458","0.677","Elektriciteit","true"
"2021-12-28T17:00:00+01:00","871687120061402458","0.769","Elektriciteit","true"
"2021-12-28T18:00:00+01:00","871687120061402458","0.968","Elektriciteit","true"
"2021-12-28T19:00:00+01:00","871687120061402458","0.569","Elektriciteit","true"
"2021-12-28T20:00:00+01:00","871687120061402458","0.586","Elektriciteit","true"
"2021-12-28T21:00:00+01:00","871687120061402458","0.609","Elektriciteit","true"
"2021-12-28T22:00:00+01:00","871687120061402458","0.622","Elektriciteit","true"
"2021-12-28T23:00:00+01:00","871687120061402458","0.717","Elektriciteit","false"
"2021-12-29T00:00:00+01:00","871687120061402458","0.605","Elektriciteit","false"
"2021-12-29T01:00:00+01:00","871687120061402458","0.509","Elektriciteit","false"
"2021-12-29T02:00:00+01:00","871687120061402458","0.964","Elektriciteit","false"
"2021-12-29T03:00:00+01:00","871687120061402458","0.874","Elektriciteit","false"
"2021-12-29T04:00:00+01:00","871687120061402458","0.553","Elektriciteit","false"
"2021-12-29T05:00:00+01:00","871687120061402458","0.307","Elektriciteit","false"
"2021-12-29T06:00:00+01:00","871687120061402458","0.206","Elektriciteit","false"
"2021-12-29T07:00:00+01:00","871687120061402458","0.411","Elektriciteit","true"
"2021-12-29T08:00:00+01:00","871687120061402458","0.586","Elektriciteit","true"
"2021-12-29T09:00:00+01:00","871687120061402458","0.475","Elektriciteit","true"
"2021-12-29T10:00:00+01:00","871687120061402458","0.739","Elektriciteit","true"
"2021-12-29T11:00:00+01:00","871687120061402458","0.879","Elektriciteit","true"
"2021-12-29T12:00:00+01:00","871687120061402458","1.548","Elektriciteit","true"
"2021-12-29T13:00:00+01:00","871687120061402458","1.006","Elektriciteit","true"
"2021-12-29T14:00:00+01:00","871687120061402458","1.114","Elektriciteit","true"
"2021-12-29T15:00:00+01:00","871687120061402458","0.56","Elektriciteit","true"
"2021-12-29T16:00:00+01:00","871687120061402458","0.43","Elektriciteit","true"
"2021-12-29T17:00:00+01:00","871687120061402458","0.914","Elektriciteit","true"
"2021-12-29T18:00:00+01:00","871687120061402458","0.578","Elektriciteit","true"
"2021-12-29T19:00:00+01:00","871687120061402458","0.797","Elektriciteit","true"
"2021-12-29T20:00:00+01:00","871687120061402458","1.056","Elektriciteit","true"
"2021-12-29T21:00:00+01:00","871687120061402458","0.778","Elektriciteit","true"
"2021-12-29T22:00:00+01:00","871687120061402458","0.717","Elektriciteit","true"
"2021-12-29T23:00:00+01:00","871687120061402458","0.655","Elektriciteit","false"
"2021-12-30T00:00:00+01:00","871687120061402458","0.586","Elektriciteit","false"
"2021-12-30T01:00:00+01:00","871687120061402458","0.339","Elektriciteit","false"
"2021-12-30T02:00:00+01:00","871687120061402458","0.709","Elektriciteit","false"
"2021-12-30T03:00:00+01:00","871687120061402458","0.913","Elektriciteit","false"
"2021-12-30T04:00:00+01:00","871687120061402458","0.729","Elektriciteit","false"
"2021-12-30T05:00:00+01:00","871687120061402458","0.295","Elektriciteit","false"
"2021-12-30T06:00:00+01:00","871687120061402458","0.27","Elektriciteit","false"
"2021-12-30T07:00:00+01:00","871687120061402458","0.37","Elektriciteit","true"
"2021-12-30T08:00:00+01:00","871687120061402458","0.92","Elektriciteit","true"
"2021-12-30T09:00:00+01:00","871687120061402458","1.078","Elektriciteit","true"
"2021-12-30T10:00:00+01:00","871687120061402458","1.91","Elektriciteit","true"
"2021-12-30T11:00:00+01:00","871687120061402458","1.534","Elektriciteit","true"
"2021-12-30T12:00:00+01:00","871687120061402458","1.714","Elektriciteit","true"
"2021-12-30T13:00:00+01:00","871687120061402458","0.751","Elektriciteit","true"
"2021-12-30T14:00:00+01:00","871687120061402458","1.436","Elektriciteit","true"
"2021-12-30T15:00:00+01:00","871687120061402458","1.296","Elektriciteit","true"
"2021-12-30T16:00:00+01:00","871687120061402458","1.298","Elektriciteit","true"
"2021-12-30T17:00:00+01:00","871687120061402458","1.014","Elektriciteit","true"
"2021-12-30T18:00:00+01:00","871687120061402458","0.926","Elektriciteit","true"
"2021-12-30T19:00:00+01:00","871687120061402458","0.832","Elektriciteit","true"
"2021-12-30T20:00:00+01:00","871687120061402458","1.169","Elektriciteit","true"
"2021-12-30T21:00:00+01:00","871687120061402458","0.838","Elektriciteit","true"
"2021-12-30T22:00:00+01:00","871687120061402458","0.787","Elektriciteit","true"
"2021-12-30T23:00:00+01:00","871687120061402458","0.843","Elektriciteit","false"
"2021-12-31T00:00:00+01:00","871687120061402458","0.749","Elektriciteit","false"
"2021-12-31T01:00:00+01:00","871687120061402458","0.593","Elektriciteit","false"
"2021-12-31T02:00:00+01:00","871687120061402458","0.897","Elektriciteit","false"
"2021-12-31T03:00:00+01:00","871687120061402458","1.132","Elektriciteit","false"
"2021-12-31T04:00:00+01:00","871687120061402458","0.744","Elektriciteit","false"
"2021-12-31T05:00:00+01:00","871687120061402458","0.488","Elektriciteit","false"
"2021-12-31T06:00:00+01:00","871687120061402458","0.336","Elektriciteit","false"
"2021-12-31T07:00:00+01:00","871687120061402458","0.635","Elektriciteit","true"
"2021-12-31T08:00:00+01:00","871687120061402458","0.553","Elektriciteit","true"
"2021-12-31T09:00:00+01:00","871687120061402458","0.617","Elektriciteit","true"
"2021-12-31T10:00:00+01:00","871687120061402458","0.498","Elektriciteit","true"
"2021-12-31T11:00:00+01:00","871687120061402458","0.377","Elektriciteit","true"
"2021-12-31T12:00:00+01:00","871687120061402458","0.423","Elektriciteit","true"
"2021-12-31T13:00:00+01:00","871687120061402458","0.577","Elektriciteit","true"
"2021-12-31T14:00:00+01:00","871687120061402458","0.77","Elektriciteit","true"
"2021-12-31T15:00:00+01:00","871687120061402458","0.719","Elektriciteit","true"
"2021-12-31T16:00:00+01:00","871687120061402458","0.494","Elektriciteit","true"
"2021-12-31T17:00:00+01:00","871687120061402458","1.54","Elektriciteit","true"
"2021-12-31T18:00:00+01:00","871687120061402458","1.215","Elektriciteit","true"
"2021-12-31T19:00:00+01:00","871687120061402458","0.951","Elektriciteit","true"
"2021-12-31T20:00:00+01:00","871687120061402458","0.563","Elektriciteit","true"
"2021-12-31T21:00:00+01:00","871687120061402458","0.622","Elektriciteit","true"
"2021-12-31T22:00:00+01:00","871687120061402458","0.588","Elektriciteit","true"
"2021-12-31T23:00:00+01:00","871687120061402458","0.598","Elektriciteit","false"
"2022-01-01T00:00:00+01:00","871687120061402458","0.566","Elektriciteit","false"
"2022-01-01T01:00:00+01:00","871687120061402458","0.663","Elektriciteit","false"
"2022-01-01T02:00:00+01:00","871687120061402458","0.72","Elektriciteit","false"
"2022-01-01T03:00:00+01:00","871687120061402458","1.02","Elektriciteit","false"
"2022-01-01T04:00:00+01:00","871687120061402458","0.761","Elektriciteit","false"
"2022-01-01T05:00:00+01:00","871687120061402458","0.362","Elektriciteit","false"
"2022-01-01T06:00:00+01:00","871687120061402458","0.306","Elektriciteit","false"
"2022-01-01T07:00:00+01:00","871687120061402458","0.373","Elektriciteit","false"
"2022-01-01T08:00:00+01:00","871687120061402458","0.366","Elektriciteit","false"
"2022-01-01T09:00:00+01:00","871687120061402458","0.405","Elektriciteit","false"
"2022-01-01T10:00:00+01:00","871687120061402458","0.524","Elektriciteit","false"
"2022-01-01T11:00:00+01:00","871687120061402458","1.332","Elektriciteit","false"
"2022-01-01T12:00:00+01:00","871687120061402458","1.113","Elektriciteit","false"
"2022-01-01T13:00:00+01:00","871687120061402458","0.646","Elektriciteit","false"
"2022-01-01T14:00:00+01:00","871687120061402458","0.61","Elektriciteit","false"
"2022-01-01T15:00:00+01:00","871687120061402458","0.639","Elektriciteit","false"
"2022-01-01T16:00:00+01:00","871687120061402458","0.486","Elektriciteit","false"
"2022-01-01T17:00:00+01:00","871687120061402458","0.975","Elektriciteit","false"
"2022-01-01T18:00:00+01:00","871687120061402458","0.633","Elektriciteit","false"
"2022-01-01T19:00:00+01:00","871687120061402458","0.748","Elektriciteit","false"
"2022-01-01T20:00:00+01:00","871687120061402458","0.837","Elektriciteit","false"
"2022-01-01T21:00:00+01:00","871687120061402458","0.675","Elektriciteit","false"
