"Datum","EAN","Verbruik","Type","Piek"
"2024-04-15T13:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-15T14:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.01","Elektriciteit","true"
"2024-04-15T15:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-15T16:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-15T17:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-15T18:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.36","Elektriciteit","true"
"2024-04-15T19:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.303","Elektriciteit","true"
"2024-04-15T20:00:00+02:00","XXXXXXXXXXXXXXXXXX","1.308","Elektriciteit","true"
"2024-04-15T21:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.237","Elektriciteit","true"
"2024-04-15T22:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.248","Elektriciteit","true"
"2024-04-15T23:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.176","Elektriciteit","false"
"2024-04-16T00:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.152","Elektriciteit","false"
"2024-04-16T01:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.465","Elektriciteit","false"
"2024-04-16T02:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.401","Elektriciteit","false"
"2024-04-16T03:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.384","Elektriciteit","false"
"2024-04-16T04:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.394","Elektriciteit","false"
"2024-04-16T05:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.313","Elektriciteit","false"
"2024-04-16T06:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.565","Elektriciteit","false"
"2024-04-16T07:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.477","Elektriciteit","true"
"2024-04-16T08:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.493","Elektriciteit","true"
"2024-04-16T09:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.251","Elektriciteit","true"
"2024-04-16T10:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.056","Elektriciteit","true"
"2024-04-16T11:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.001","Elektriciteit","true"
"2024-04-16T12:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-16T13:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-16T14:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-16T15:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-16T16:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-16T17:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-16T18:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.0","Elektriciteit","true"
"2024-04-16T19:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.018","Elektriciteit","true"
"2024-04-16T20:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.206","Elektriciteit","true"
"2024-04-16T21:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.401","Elektriciteit","true"
"2024-04-16T22:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.226","Elektriciteit","true"
"2024-04-16T23:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.201","Elektriciteit","false"
"2024-04-17T00:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.157","Elektriciteit","false"
"2024-04-17T01:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.406","Elektriciteit","false"
"2024-04-17T02:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.384","Elektriciteit","false"
"2024-04-17T03:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.39","Elektriciteit","false"
"2024-04-17T04:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.388","Elektriciteit","false"
"2024-04-17T05:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.295","Elektriciteit","false"
"2024-04-17T06:00:00+02:00","XXXXXXXXXXXXXXXXXX","0.986","Elektriciteit","false"
