Vanaf;Tot;Verbruik laag tarief;Verbruik hoog tarief;Teruglevering laag tarief;Teruglevering hoog tarief;Totaal;
2015-01-01 00:00;2015-01-02 00:00;15,73200;0,00000;0,00000;0,00000;15,73200;
2015-01-02 00:00;2015-01-03 00:00;5,23800;11,32300;0,00000;-0,13400;16,42700;
2015-01-03 00:00;2015-01-04 00:00;16,22300;0,00000;0,00000;0,00000;16,22300;
2015-01-04 00:00;2015-01-05 00:00;12,61800;0,00000;-0,91200;0,00000;11,70600;
2015-01-05 00:00;2015-01-06 00:00;5,40700;9,45300;0,00000;-0,01300;14,84700;
2015-01-06 00:00;2015-01-07 00:00;4,88100;6,68500;0,00000;-0,15800;11,40800;
2015-01-07 00:00;2015-01-08 00:00;7,43500;16,37200;0,00000;-0,47000;23,33700;
2015-01-08 00:00;2015-01-09 00:00;7,54400;9,19200;0,00000;0,00000;16,73600;
2015-01-09 00:00;2015-01-10 00:00;3,97400;10,22700;0,00000;0,00000;14,20100;
2015-01-10 00:00;2015-01-11 00:00;9,99400;0,00000;0,00000;0,00000;9,99400;
2015-01-11 00:00;2015-01-12 00:00;9,97600;0,00000;0,00000;0,00000;9,97600;
2015-01-12 00:00;2015-01-13 00:00;5,18600;6,44800;0,00000;0,00000;11,63400;
2015-01-13 00:00;2015-01-14 00:00;5,64300;15,39700;0,00000;0,00000;21,04000;
2015-01-14 00:00;2015-01-15 00:00;8,99700;8,65900;0,00000;-0,00300;17,65300;
2015-01-15 00:00;2015-01-16 00:00;7,10300;8,02700;0,00000;0,00000;15,13000;
2015-01-16 00:00;2015-01-17 00:00;5,48700;10,66700;0,00000;-0,06200;16,09200;
2015-01-17 00:00;2015-01-18 00:00;25,40700;0,00000;-0,45000;0,00000;24,95700;
2015-01-18 00:00;2015-01-19 00:00;13,96300;0,00000;-0,06600;0,00000;13,89700;
2015-01-19 00:00;2015-01-20 00:00;9,24100;9,75900;0,00000;0,00000;19,00000;
2015-01-20 00:00;2015-01-21 00:00;6,77300;12,77100;0,00000;-0,12900;19,41500;
