entity_id,state,last_changed
sensor.electricity_meter_feed_in_tariff_1,5172.3798828125,2023-01-05T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5174.16015625,2023-01-05T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5175.3798828125,2023-01-05T19:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5176.43017578125,2023-01-05T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5176.47021484375,2023-01-05T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5176.47021484375,2023-01-05T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5176.66015625,2023-01-06T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5176.85986328125,2023-01-06T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5177.0498046875,2023-01-06T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5177.22998046875,2023-01-06T08:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5177.27978515625,2023-01-06T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5177.419921875,2023-01-06T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5177.60009765625,2023-01-06T11:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5177.75,2023-01-06T13:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5178.25,2023-01-06T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5179.8798828125,2023-01-06T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5182.4501953125,2023-01-06T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5185.5498046875,2023-01-06T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5187.25,2023-01-06T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5189.330078125,2023-01-06T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5191.06982421875,2023-01-06T20:01:04.000Z
sensor.electricity_meter_feed_in_tariff_1,5192.740234375,2023-01-06T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5192.81982421875,2023-01-06T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5192.81982421875,2023-01-06T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5193.080078125,2023-01-09T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5193.8798828125,2023-01-09T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5194.77978515625,2023-01-09T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5195.16015625,2023-01-09T08:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5195.77001953125,2023-01-09T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5196.14013671875,2023-01-09T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5196.2900390625,2023-01-09T12:01:04.000Z
sensor.electricity_meter_feed_in_tariff_1,5196.39013671875,2023-01-09T13:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5196.81005859375,2023-01-09T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5197.39990234375,2023-01-09T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5198.85986328125,2023-01-09T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5200.10009765625,2023-01-09T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5201.240234375,2023-01-09T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5202.6201171875,2023-01-09T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5210.41015625,2023-01-09T19:58:56.000Z
sensor.electricity_meter_feed_in_tariff_1,5222.18994140625,2023-01-09T21:00:48.000Z
sensor.electricity_meter_feed_in_tariff_1,5222.97021484375,2023-01-09T22:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5222.97021484375,2023-01-09T23:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5223.25,2023-01-10T06:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5223.52978515625,2023-01-10T07:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5223.68994140625,2023-01-10T08:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5223.7001953125,2023-01-10T08:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5223.81005859375,2023-01-10T09:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5223.81005859375,2023-01-10T10:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5223.990234375,2023-01-10T14:00:32.000Z
sensor.electricity_meter_feed_in_tariff_1,5224.18994140625,2023-01-10T15:00:16.000Z
sensor.electricity_meter_feed_in_tariff_1,5225.2099609375,2023-01-10T16:00:00.000Z
sensor.electricity_meter_feed_in_tariff_1,5226.669921875,2023-01-10T16:59:44.000Z
sensor.electricity_meter_feed_in_tariff_1,5228.35986328125,2023-01-10T17:59:28.000Z
sensor.electricity_meter_feed_in_tariff_1,5229.77001953125,2023-01-10T18:59:12.000Z
sensor.electricity_meter_feed_in_tariff_1,5231.10009765625,2023-01-10T20:01:04.000Z
