sep=,
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma

,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033
,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0
,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn
,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh]
28.06.2020 00:00:00,3025777,0,NaN,0,NaN
29.06.2020 00:00:00,3064530,0,NaN,0,NaN
30.06.2020 00:00:00,3104041,0,NaN,0,NaN
01.07.2020 00:00:00,3137707,0,NaN,0,NaN
02.07.2020 00:00:00,3161810,0,NaN,0,NaN
03.07.2020 00:00:00,3201047,0,NaN,0,NaN
04.07.2020 00:00:00,3221323,0,NaN,0,NaN
05.07.2020 00:00:00,3232261,0,NaN,0,NaN
06.07.2020 00:00:00,3260318,0,NaN,0,NaN
07.07.2020 00:00:00,3290680,0,NaN,0,NaN
08.07.2020 00:00:00,3326773,0,NaN,0,NaN
09.07.2020 00:00:00,3333734,0,NaN,0,NaN
10.07.2020 00:00:00,3357688,0,NaN,0,NaN
11.07.2020 00:00:00,3382748,0,NaN,0,NaN
12.07.2020 00:00:00,3415063,0,NaN,0,NaN
13.07.2020 00:00:00,3424596,0,NaN,0,NaN
14.07.2020 00:00:00,3432380,0,NaN,0,NaN
15.07.2020 00:00:00,3461216,0,NaN,0,NaN
16.07.2020 00:00:00,3496651,0,NaN,0,NaN
17.07.2020 00:00:00,3530191,0,NaN,0,NaN
18.07.2020 00:00:00,3571808,0,NaN,0,NaN
19.07.2020 00:00:00,3581158,0,NaN,0,NaN
20.07.2020 00:00:00,3606184,0,NaN,0,NaN
21.07.2020 00:00:00,3625113,0,NaN,0,NaN
22.07.2020 00:00:00,3648011,0,NaN,0,NaN
