sep=,
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma

,STP8.0-3AV-40 622,STP8.0-3AV-40 622,STP8.0-3AV-40 622,STP8.0-3AV-40 622,STP8.0-3AV-40 622
,SUNNY TRIPOWER 8.0,SUNNY TRIPOWER 8.0,SUNNY TRIPOWER 8.0,SUNNY TRIPOWER 8.0,SUNNY TRIPOWER 8.0
,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn
,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh]
06.06.2020 00:00:00,0,0,NaN,0,NaN
07.06.2020 00:00:00,11089,0,NaN,0,NaN
08.06.2020 00:00:00,63209,0,NaN,0,NaN
09.06.2020 00:00:00,113227,0,NaN,0,NaN
10.06.2020 00:00:00,160517,0,NaN,0,NaN
11.06.2020 00:00:00,NaN,0,NaN,0,NaN
12.06.2020 00:00:00,250198,0,NaN,0,NaN
13.06.2020 00:00:00,275765,0,NaN,0,NaN
14.06.2020 00:00:00,322706,0,NaN,0,NaN
15.06.2020 00:00:00,351050,0,NaN,0,NaN
16.06.2020 00:00:00,383923,0,NaN,0,NaN
17.06.2020 00:00:00,426109,0,NaN,0,NaN
18.06.2020 00:00:00,472973,0,NaN,0,NaN
19.06.2020 00:00:00,513621,0,NaN,0,NaN
20.06.2020 00:00:00,562202,0,NaN,0,NaN
21.06.2020 00:00:00,612959,0,NaN,0,NaN
22.06.2020 00:00:00,661698,0,NaN,0,NaN
23.06.2020 00:00:00,710874,0,NaN,0,NaN
24.06.2020 00:00:00,758802,0,NaN,0,NaN
25.06.2020 00:00:00,786601,0,NaN,0,NaN
26.06.2020 00:00:00,832840,0,NaN,0,NaN
27.06.2020 00:00:00,844050,0,NaN,0,NaN
28.06.2020 00:00:00,894849,0,NaN,0,NaN
29.06.2020 00:00:00,944518,0,NaN,0,NaN
30.06.2020 00:00:00,996561,0,NaN,0,NaN
01.07.2020 00:00:00,1050813,0,NaN,0,NaN
02.07.2020 00:00:00,1104284,0,NaN,0,NaN
03.07.2020 00:00:00,1157200,0,NaN,0,NaN
04.07.2020 00:00:00,1210008,0,NaN,0,NaN
05.07.2020 00:00:00,1258133,0,NaN,0,NaN
06.07.2020 00:00:00,1306693,0,NaN,0,NaN
07.07.2020 00:00:00,1349510,0,NaN,0,NaN
08.07.2020 00:00:00,1369526,0,NaN,0,NaN
09.07.2020 00:00:00,1390426,0,NaN,0,NaN
10.07.2020 00:00:00,1427716,0,NaN,0,NaN
11.07.2020 00:00:00,1458679,0,NaN,0,NaN
12.07.2020 00:00:00,1492222,0,NaN,0,NaN
13.07.2020 00:00:00,NaN,0,NaN,0,NaN
14.07.2020 00:00:00,1548166,0,NaN,0,NaN
15.07.2020 00:00:00,1571178,0,NaN,0,NaN
16.07.2020 00:00:00,1609420,0,NaN,0,NaN
17.07.2020 00:00:00,1655293,0,NaN,0,NaN
18.07.2020 00:00:00,1680826,0,NaN,0,NaN
19.07.2020 00:00:00,1723796,0,NaN,0,NaN
20.07.2020 00:00:00,1747993,0,NaN,0,NaN
21.07.2020 00:00:00,1787199,0,NaN,0,NaN
22.07.2020 00:00:00,1827061,0,NaN,0,NaN
