From (date);From (time);Until (date);Until (time);EAN code;Meter;Meter type;Register;Volume;Unit;Validation status;Description
22/10/2023;05:45:00;22/10/2023;06:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,152;kWh;Read;
22/10/2023;05:45:00;22/10/2023;06:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;06:00:00;22/10/2023;06:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,161;kWh;Read;
22/10/2023;06:00:00;22/10/2023;06:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;06:15:00;22/10/2023;06:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,196;kWh;Read;
22/10/2023;06:15:00;22/10/2023;06:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;06:30:00;22/10/2023;06:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,161;kWh;Read;
22/10/2023;06:30:00;22/10/2023;06:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;06:45:00;22/10/2023;07:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,169;kWh;Read;
22/10/2023;06:45:00;22/10/2023;07:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;07:00:00;22/10/2023;07:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,195;kWh;Read;
22/10/2023;07:00:00;22/10/2023;07:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;07:15:00;22/10/2023;07:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,158;kWh;Read;
22/10/2023;07:15:00;22/10/2023;07:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;07:30:00;22/10/2023;07:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,145;kWh;Read;
22/10/2023;07:30:00;22/10/2023;07:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;07:45:00;22/10/2023;08:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,205;kWh;Read;
22/10/2023;07:45:00;22/10/2023;08:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;08:00:00;22/10/2023;08:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,212;kWh;Read;
22/10/2023;08:00:00;22/10/2023;08:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;08:15:00;22/10/2023;08:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,181;kWh;Read;
22/10/2023;08:15:00;22/10/2023;08:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;08:30:00;22/10/2023;08:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,194;kWh;Read;
22/10/2023;08:30:00;22/10/2023;08:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;08:45:00;22/10/2023;09:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,214;kWh;Read;
22/10/2023;08:45:00;22/10/2023;09:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;09:00:00;22/10/2023;09:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,248;kWh;Read;
22/10/2023;09:00:00;22/10/2023;09:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;09:15:00;22/10/2023;09:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,160;kWh;Read;
22/10/2023;09:15:00;22/10/2023;09:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;09:30:00;22/10/2023;09:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,087;kWh;Read;
22/10/2023;09:30:00;22/10/2023;09:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;09:45:00;22/10/2023;10:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,114;kWh;Read;
22/10/2023;09:45:00;22/10/2023;10:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;10:00:00;22/10/2023;10:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,160;kWh;Read;
22/10/2023;10:00:00;22/10/2023;10:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;10:15:00;22/10/2023;10:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,153;kWh;Read;
22/10/2023;10:15:00;22/10/2023;10:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;10:30:00;22/10/2023;10:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,139;kWh;Read;
22/10/2023;10:30:00;22/10/2023;10:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;10:45:00;22/10/2023;11:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,097;kWh;Read;
22/10/2023;10:45:00;22/10/2023;11:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;11:00:00;22/10/2023;11:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,062;kWh;Read;
22/10/2023;11:00:00;22/10/2023;11:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;11:15:00;22/10/2023;11:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,139;kWh;Read;
22/10/2023;11:15:00;22/10/2023;11:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;11:30:00;22/10/2023;11:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,194;kWh;Read;
22/10/2023;11:30:00;22/10/2023;11:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;11:45:00;22/10/2023;12:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,154;kWh;Read;
22/10/2023;11:45:00;22/10/2023;12:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;12:00:00;22/10/2023;12:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,072;kWh;Read;
22/10/2023;12:00:00;22/10/2023;12:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,034;kWh;Read;
22/10/2023;12:15:00;22/10/2023;12:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,500;kWh;Read;
22/10/2023;12:15:00;22/10/2023;12:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
